measure,query_id,value
AP,411,0.18728501489280472
AP,424,0.03526330196718631
AP,432,0.05041804703889869
AP,434,0.5747957867373636
AP,435,0.06884206305331969
AP,446,0.1723451517993644
AP,604,0.5475917030262347
AP,612,0.34122475483609965
AP,614,0.2081241147699691
AP,617,0.24501944284805813
AP,621,0.5991147324933119
AP,622,0.2518565615076386
AP,633,0.3907728436280351
AP,637,0.15859736023838722
AP,643,0.28470442978184357
AP,655,0.18205615579565157
AP,656,0.30944564173532896
AP,659,0.5160433512595373
AP,668,0.1008129353938556
AP,669,0.062398683097946835
AP,670,0.19906853360406004
AP,674,0.1490590816398862
AP,678,0.13926999086628836
AP,679,0.7345238095238096
AP,681,0.5574127310962289
AP,683,0.35955805173829275
AP,689,0.011156923771025907
AP,302,0.26923859651951343
AP,315,0.021221238813562623
AP,321,0.23751156130990653
AP,322,0.005496632827862773
AP,338,0.16666666666666666
AP,349,0.12118495685433375
AP,351,0.6429801490539286
AP,353,0.23796180674321288
AP,355,0.15997320011940422
AP,358,0.10967999477658438
AP,359,0.024360536144996604
AP,364,0.3553874148627517
AP,372,0.6334529163450126
AP,375,0.1091921629572354
AP,388,0.01409249106765237
AP,389,0.006204546165578931
AP,393,0.05370893837485772
AP,400,0.49248519105197053
AP,403,0.7351296811664834
AP,404,0.07645224174311767
AP,407,0.17068090211157108
AP,408,0.13226044666830647
AP,417,0.13500661605223108
AP,422,0.5309170058071908
AP,430,0.47440476190476194
AP,431,0.32700692010821775
AP,450,0.3126531724823286
AP,602,0.1930932329005332
AP,608,0.02786501826266599
AP,611,0.43870972008590625
AP,620,0.03779788254228521
AP,625,0.40878937451715003
AP,630,0.7611111111111111
AP,638,0.02294960816910388
AP,639,0.16345792689091482
AP,640,0.33706858623531916
AP,642,0.07374971411207534
AP,653,0.5812330629162465
AP,654,0.26675932255947193
AP,657,0.36808437598985333
AP,658,0.2213115248449942
AP,660,0.593240093042179
AP,661,0.263418339971155
AP,665,0.21942527464074849
AP,671,0.23868800286194478
AP,686,0.24293905255288697
AP,693,0.2556605240327587
AP,697,0.1299216928163243
AP,700,0.19599803729119794
R@1000,307,0.6190476190476191
R@1000,310,0.7692307692307693
R@1000,311,0.554945054945055
R@1000,316,0.35294117647058826
R@1000,317,0.6428571428571429
R@1000,319,0.4176470588235294
R@1000,320,1.0
R@1000,325,0.375
R@1000,326,0.8478260869565217
R@1000,331,0.6384976525821596
R@1000,334,0.6666666666666666
R@1000,339,0.8
R@1000,346,0.5523809523809524
R@1000,356,0.4117647058823529
R@1000,361,0.7777777777777778
R@1000,368,0.6557377049180327
R@1000,369,0.5384615384615384
R@1000,370,0.6071428571428571
R@1000,397,0.9629629629629629
R@1000,398,0.46206896551724136
R@1000,405,0.8421052631578947
R@1000,409,0.36363636363636365
R@1000,412,0.7398373983739838
R@1000,413,0.6956521739130435
R@1000,415,0.39705882352941174
R@1000,419,0.5
R@1000,421,0.46987951807228917
R@1000,438,0.5317919075144508
R@1000,441,0.7058823529411765
R@1000,609,0.7
R@1000,610,0.5
R@1000,613,0.5319148936170213
R@1000,623,0.7368421052631579
R@1000,624,0.8333333333333334
R@1000,626,0.8333333333333334
R@1000,631,0.8782608695652174
R@1000,634,0.9090909090909091
R@1000,635,0.9473684210526315
R@1000,641,0.9387755102040817
R@1000,644,0.875
R@1000,645,0.9655172413793104
R@1000,646,0.9
R@1000,647,0.7878787878787878
R@1000,650,0.8529411764705882
R@1000,651,0.631578947368421
R@1000,652,0.4864864864864865
R@1000,666,0.6666666666666666
R@1000,675,0.92
R@1000,691,0.6666666666666666
R@1000,698,0.5
R@1000,306,0.5873493975903614
R@1000,313,0.3548387096774194
R@1000,323,0.29508196721311475
R@1000,329,0.7142857142857143
R@1000,330,0.6833333333333333
R@1000,332,0.37401574803149606
R@1000,336,0.5833333333333334
R@1000,343,0.2751937984496124
R@1000,357,0.5444444444444444
R@1000,366,0.35353535353535354
R@1000,367,0.30158730158730157
R@1000,374,0.45098039215686275
R@1000,376,0.23529411764705882
R@1000,380,0.8571428571428571
R@1000,383,0.4041095890410959
R@1000,385,0.7558139534883721
R@1000,387,0.7294117647058823
R@1000,394,0.17647058823529413
R@1000,402,0.8625
R@1000,410,0.6461538461538462
R@1000,416,0.7857142857142857
R@1000,418,0.12931034482758622
R@1000,420,0.8484848484848485
R@1000,425,0.48148148148148145
R@1000,426,0.30198019801980197
R@1000,427,0.72
R@1000,433,0.15384615384615385
R@1000,440,0.3333333333333333
R@1000,445,0.6935483870967742
R@1000,448,0.717391304347826
R@1000,449,0.5970149253731343
R@1000,601,1.0
R@1000,605,0.8055555555555556
R@1000,606,0.6428571428571429
R@1000,607,0.8181818181818182
R@1000,618,0.8888888888888888
R@1000,619,1.0
R@1000,632,0.7464788732394366
R@1000,636,0.7142857142857143
R@1000,648,0.7719298245614035
R@1000,662,0.3235294117647059
R@1000,663,0.8636363636363636
R@1000,664,0.8888888888888888
R@1000,667,0.6097560975609756
R@1000,676,0.6938775510204082
R@1000,684,0.7073170731707317
R@1000,685,1.0
R@1000,687,0.9310344827586207
R@1000,688,0.20496894409937888
R@1000,696,0.5806451612903226
R@1000,301,0.31473214285714285
R@1000,303,0.9
R@1000,305,0.45714285714285713
R@1000,312,0.45454545454545453
R@1000,327,0.6363636363636364
R@1000,328,0.875
R@1000,333,0.7076923076923077
R@1000,337,0.5161290322580645
R@1000,342,0.6
R@1000,347,0.5328947368421053
R@1000,352,0.25609756097560976
R@1000,362,0.5641025641025641
R@1000,363,0.9375
R@1000,365,0.5714285714285714
R@1000,371,0.6470588235294118
R@1000,377,0.5897435897435898
R@1000,378,0.30612244897959184
R@1000,379,0.25
R@1000,386,0.8421052631578947
R@1000,391,0.6235955056179775
R@1000,396,0.4915254237288136
R@1000,399,0.5588235294117647
R@1000,401,0.5066666666666667
R@1000,414,0.8461538461538461
R@1000,423,0.8095238095238095
R@1000,428,0.4661016949152542
R@1000,429,0.8181818181818182
R@1000,436,0.85
R@1000,437,0.375
R@1000,439,0.3150684931506849
R@1000,442,0.1595744680851064
R@1000,443,0.5196078431372549
R@1000,444,0.6470588235294118
R@1000,447,0.1875
R@1000,603,0.8125
R@1000,615,0.4166666666666667
R@1000,616,0.8536585365853658
R@1000,627,0.6071428571428571
R@1000,628,1.0
R@1000,629,0.9473684210526315
R@1000,649,0.9459459459459459
R@1000,673,0.6956521739130435
R@1000,677,0.8888888888888888
R@1000,680,0.875
R@1000,682,0.5121951219512195
R@1000,690,0.5714285714285714
R@1000,692,0.5555555555555556
R@1000,694,0.6136363636363636
R@1000,695,0.5730337078651685
R@1000,699,0.8028169014084507
R@1000,304,0.5153061224489796
R@1000,308,1.0
R@1000,309,0.0
