query_id,measure,value
326,R@1000,0.8260869565217391
326,nDCG@3,0.23463936301137822
326,nDCG@10,0.48964844873235525
326,nDCG@20,0.4591949732084477
326,nDCG@100,0.5193269864234692
327,AP,0.29699963990199074
327,RR,1.0
327,R@1000,0.8181818181818182
327,nDCG@3,0.7653606369886217
327,nDCG@10,0.42520843362602373
327,nDCG@20,0.5097262341919443
327,nDCG@100,0.541005473007758
328,AP,0.200192156507015
328,RR,1.0
328,R@1000,0.625
328,nDCG@3,0.46927872602275644
328,nDCG@10,0.40888058204748884
328,nDCG@20,0.40888058204748884
328,nDCG@100,0.40888058204748884
329,AP,0.4049791135328017
329,RR,1.0
329,R@1000,0.6857142857142857
329,nDCG@3,1.0
329,nDCG@10,1.0
329,nDCG@20,0.7521269671013167
329,nDCG@100,0.5929795712442092
330,AP,0.20445321068875352
330,RR,1.0
330,R@1000,0.7166666666666667
330,nDCG@3,0.7653606369886217
330,nDCG@10,0.5861163849908828
330,nDCG@20,0.52476117685715
330,nDCG@100,0.4109582679362334
331,AP,0.40536113796539186
331,RR,1.0
331,R@1000,0.7323943661971831
331,nDCG@3,1.0
331,nDCG@10,0.933745776545611
331,nDCG@20,0.9243767169173913
331,nDCG@100,0.6947508986652597
332,AP,0.03912382520202631
332,RR,0.125
332,R@1000,0.2677165354330709
332,nDCG@3,0.0
332,nDCG@10,0.199306233590118
332,nDCG@20,0.19492819745588286
332,nDCG@100,0.19353143661146238
333,AP,0.24278834136032384
333,RR,1.0
333,R@1000,0.6
333,nDCG@3,0.7039180890341347
333,nDCG@10,0.6528642754944294
333,nDCG@20,0.5927947997555304
333,nDCG@100,0.46799888391031214
334,AP,0.12306527243815202
334,RR,1.0
334,R@1000,0.7777777777777778
334,nDCG@3,0.46927872602275644
334,nDCG@10,0.23504554941448536
334,nDCG@20,0.23504554941448536
334,nDCG@100,0.2786345170115305
335,AP,0.5302610289792982
335,RR,1.0
335,R@1000,0.9848484848484849
335,nDCG@3,0.7039180890341347
335,nDCG@10,0.8611375561264454
335,nDCG@20,0.7709228909518252
335,nDCG@100,0.6585089480848656
336,AP,0.057746892347841826
336,RR,0.125
336,R@1000,0.6666666666666666
336,nDCG@3,0.0
336,nDCG@10,0.13568544539116628
336,nDCG@20,0.12105366058507118
336,nDCG@100,0.19739591291813627
337,AP,0.18960004986939094
337,RR,1.0
337,R@1000,0.5483870967741935
337,nDCG@3,0.46927872602275644
337,nDCG@10,0.542042305486879
337,nDCG@20,0.561859829774583
337,nDCG@100,0.3822217670861689
338,AP,0.19789628180039137
338,RR,0.5
338,R@1000,0.75
338,nDCG@3,0.2960819109658652
338,nDCG@10,0.3764290720714305
338,nDCG@20,0.3764290720714305
338,nDCG@100,0.3764290720714305
339,AP,0.2330730672835936
339,RR,0.2
