query_id,measure,perfect,binarized,nearrandom
314,AP,0.12583335409397944,0.11899754302106741,0.12655832980508339
314,RR,1.0,1.0,1.0
314,R@1000,0.4772727272727273,0.4090909090909091,0.4772727272727273
314,nDCG@3,1.0,1.0,1.0
314,nDCG@10,0.4690000933206748,0.4690000933206748,0.4690000933206748
314,nDCG@20,0.41416471160659823,0.40869967711394734,0.41511517398450404
314,nDCG@100,0.3202230424801976,0.31493684974864244,0.3208424408578754
315,AP,0.044173807373588114,0.0594046657801098,0.055651355509413074
315,RR,0.1111111111111111,0.08333333333333333,0.022222222222222223
315,R@1000,0.7014925373134329,0.7761194029850746,0.8059701492537313
315,nDCG@3,0.0,0.0,0.0
315,nDCG@10,0.06625422345438903,0.0,0.0
315,nDCG@20,0.04275831251503158,0.0383846381653829,0.0
315,nDCG@100,0.07357287415924793,0.08287584939363424,0.05420771594374496
316,AP,0.049333183832744466,0.042711923558917675,0.018502491361923123
316,RR,1.0,1.0,0.5
316,R@1000,0.3235294117647059,0.3235294117647059,0.23529411764705882
316,nDCG@3,0.46927872602275644,0.46927872602275644,0.2960819109658652
316,nDCG@10,0.30523488393970116,0.2934556883974402,0.13886244387355454
316,nDCG@20,0.19698862770564318,0.18938671951154307,0.08961728720334347
316,nDCG@100,0.15716841976284956,0.15049281289316938,0.08283869589741333
317,AP,0.4340620230405669,0.4409480838974654,0.4346623822327147
317,RR,1.0,1.0,1.0
317,R@1000,0.7857142857142857,0.7857142857142857,0.7857142857142857
317,nDCG@3,1.0,1.0,1.0
317,nDCG@10,0.6489315753318465,0.6489315753318465,0.6489315753318465
317,nDCG@20,0.5736050008743004,0.5736050008743004,0.5736050008743004
317,nDCG@100,0.6676082038469717,0.6728621477565541,0.667781848379859
318,AP,0.0286456439352229,0.024452612207867774,0.028434416763326274
318,RR,1.0,1.0,1.0
318,R@1000,0.1592920353982301,0.13274336283185842,0.1592920353982301
318,nDCG@3,0.7653606369886217,0.7653606369886217,0.7653606369886217
318,nDCG@10,0.42257499837058643,0.3589542101716347,0.42257499837058643
318,nDCG@20,0.2727161062238898,0.2689640772034454,0.2727161062238898
