query_id,measure,value
310,nDCG@3,1.0
310,nDCG@10,0.5352543167750639
310,nDCG@20,0.4541144083631432
310,nDCG@100,0.4875484314029106
311,AP,0.34178164415434364
311,RR,1.0
311,R@1000,0.6043956043956044
311,nDCG@3,1.0
311,nDCG@10,0.914856882358379
311,nDCG@20,0.9450514119280141
311,nDCG@100,0.6077753535659145
312,AP,0.09904590746207034
312,RR,1.0
312,R@1000,0.45454545454545453
312,nDCG@3,0.46927872602275644
312,nDCG@10,0.22009176629808017
312,nDCG@20,0.2073612289146658
312,nDCG@100,0.2708247060445779
313,AP,0.16785764426593774
313,RR,1.0
313,R@1000,0.3333333333333333
313,nDCG@3,1.0
313,nDCG@10,0.8318477135310893
313,nDCG@20,0.7504755803856414
313,nDCG@100,0.33338505318168016
314,AP,0.03084912869640141
314,RR,1.0
314,R@1000,0.25
314,nDCG@3,0.46927872602275644
314,nDCG@10,0.28952298823485745
314,nDCG@20,0.18684868323532905
314,nDCG@100,0.11123471974797768
315,AP,0.02080638971103549
315,RR,0.05
315,R@1000,0.47761194029850745
315,nDCG@3,0.0
315,nDCG@10,0.0
315,nDCG@20,0.03233829114831982
315,nDCG@100,0.07069864639754435
316,AP,0.042381207126435644
316,RR,1.0
316,R@1000,0.3235294117647059
316,nDCG@3,0.46927872602275644
316,nDCG@10,0.22009176629808017
316,nDCG@20,0.1420400396336573
316,nDCG@100,0.1881005303475095
317,AP,0.2586197365308257
317,RR,1.0
317,R@1000,0.5714285714285714
317,nDCG@3,1.0
317,nDCG@10,0.4690000933206748
317,nDCG@20,0.4209876071787707
317,nDCG@100,0.49143201951267085
318,AP,0.005168790861473981
318,RR,0.2
318,R@1000,0.10619469026548672
318,nDCG@3,0.0
318,nDCG@10,0.08514311764162098
318,nDCG@20,0.05494858807198588
318,nDCG@100,0.03872279843112782
319,AP,0.03971262146871927
319,RR,0.3333333333333333
319,R@1000,0.35294117647058826
319,nDCG@3,0.23463936301137822
319,nDCG@10,0.19518900079066107
319,nDCG@20,0.1588335784563915
319,nDCG@100,0.1355111735951321
320,AP,0.1295764853133607
320,RR,0.3333333333333333
320,R@1000,1.0
320,nDCG@3,0.23463936301137822
320,nDCG@10,0.15130120674940672
320,nDCG@20,0.15130120674940672
320,nDCG@100,0.4337059892979759
321,AP,0.21568241950944875
321,RR,1.0
321,R@1000,0.4876847290640394
321,nDCG@3,1.0
321,nDCG@10,1.0
321,nDCG@20,0.8262665971371871
321,nDCG@100,0.5196322632046418
322,AP,0.0074067683410890895
322,RR,0.022727272727272728
322,R@1000,0.4117647058823529
322,nDCG@3,0.0
322,nDCG@10,0.0
322,nDCG@20,0.0
322,nDCG@100,0.03458472637259882
323,AP,0.08491212586753816
323,RR,1.0
323,R@1000,0.26229508196721313
323,nDCG@3,1.0
323,nDCG@10,0.5637884576902256
323,nDCG@20,0.3638506620318613
323,nDCG@100,0.22658954581138865
324,AP,0.5632486047829747
324,RR,1.0
324,R@1000,0.8260869565217391
324,nDCG@3,1.0
324,nDCG@10,1.0
324,nDCG@20,1.0
324,nDCG@100,0.7949342401284184
325,AP,0.005498812473381606
325,RR,0.02564102564102564
325,R@1000,0.375
325,nDCG@3,0.0
325,nDCG@10,0.0
325,nDCG@20,0.0
325,nDCG@100,0.04290467749901446
326,AP,0.3597603292341297
326,RR,1.0
326,R@1000,0.8478260869565217
326,nDCG@3,1.0
326,nDCG@10,0.6987957033953602
326,nDCG@20,0.5222295389484239
326,nDCG@100,0.6373769377050501
327,AP,0.19623854085250764
327,RR,1.0
327,R@1000,0.5454545454545454
327,nDCG@3,0.7653606369886217
327,nDCG@10,0.3589542101716347
327,nDCG@20,0.3381915979740705
327,nDCG@100,0.4078937728438337
328,AP,0.28794744998846805
328,RR,1.0
328,R@1000,0.875
328,nDCG@3,0.7653606369886217
328,nDCG@10,0.41253177989255346
