mean_value,best,tpgr,measure,collection,user_model,encoder,model
0.516156282656008,0,1,AP,trec-dl-2020,nearrandom,dragon,corocchio
0.534969029425374,0,1,AP,trec-dl-2020,nearrandom,dragon,ClickLogsCorrelation
0.506458810463359,0,1,AP,trec-dl-2020,nearrandom,dragon,ClickLogsWeightedMean
0.457671226587859,0,0,AP,trec-dl-2020,nearrandom,tasb,ClickLogsWeightedMean
0.439457412282947,0,0,AP,trec-dl-2020,nearrandom,tasb,corocchio
0.50971883417477,0,1,AP,trec-dl-2020,nearrandom,tasb,LLM
0.48201942218247,0,1,AP,trec-dl-2020,nearrandom,tasb,ClickLogsMean
0.530736910397721,1,1,AP,trec-dl-2020,nearrandom,tasb,ClickLogsLinearModel
0.459857584699762,0,0,AP,trec-dl-2020,nearrandom,tasb,vprf20
0.475179088662902,0,0,AP,trec-dl-2020,nearrandom,tasb,nodime
0.483365837769676,0,1,AP,trec-dl-2020,nearrandom,tasb,vprf5
0.517494122154768,0,1,AP,trec-dl-2020,nearrandom,tasb,ClickLogsCorrelation
0.51032006313986,0,1,AP,trec-dl-2020,nearrandom,tasb,ClickLogsWeightedMax
0.478026757412245,0,0,AP,trec-dl-2020,perfect,contriever,vprf20
0.572250102801732,1,1,AP,trec-dl-2020,perfect,contriever,corocchio
0.495280713891488,0,0,AP,trec-dl-2020,perfect,contriever,ClickLogsWeightedMean
0.513097374332656,0,0,AP,trec-dl-2020,perfect,contriever,LLM
0.486284445471262,0,0,AP,trec-dl-2020,perfect,contriever,ClickLogsMean
0.490637037287742,0,0,AP,trec-dl-2020,perfect,contriever,vprf5
0.503581692344954,0,0,AP,trec-dl-2020,perfect,contriever,ClickLogsWeightedMax
0.541480550966932,0,1,AP,trec-dl-2020,perfect,contriever,ClickLogsLinearModel
0.479183120253128,0,0,AP,trec-dl-2020,perfect,contriever,nodime
0.531033254362373,0,1,AP,trec-dl-2020,perfect,contriever,ClickLogsCorrelation
0.563479958842563,0,0,AP,trec-dl-2020,perfect,dragon,ClickLogsLinearModel
0.506458810463359,0,0,AP,trec-dl-2020,perfect,dragon,nodime
0.510128221813119,0,0,AP,trec-dl-2020,perfect,dragon,ClickLogsWeightedMax
0.506458810463359,0,0,AP,trec-dl-2020,perfect,dragon,ClickLogsMean
0.527965880343587,0,0,AP,trec-dl-2020,perfect,dragon,vprf5
0.528040828782538,0,0,AP,trec-dl-2020,perfect,dragon,vprf20
0.531298996323433,0,0,AP,trec-dl-2020,perfect,dragon,LLM
0.607617945374685,1,0,AP,trec-dl-2020,perfect,dragon,corocchio
0.562005428993029,0,0,AP,trec-dl-2020,perfect,dragon,ClickLogsCorrelation
0.506458810463359,0,0,AP,trec-dl-2020,perfect,dragon,ClickLogsWeightedMean
0.457213075166568,0,0,AP,trec-dl-2020,perfect,tasb,ClickLogsWeightedMean
0.561473827538025,1,1,AP,trec-dl-2020,perfect,tasb,corocchio
0.50971883417477,0,0,AP,trec-dl-2020,perfect,tasb,LLM
0.48201942218247,0,0,AP,trec-dl-2020,perfect,tasb,ClickLogsMean
0.55116837999836,0,1,AP,trec-dl-2020,perfect,tasb,ClickLogsLinearModel
0.459857584699762,0,0,AP,trec-dl-2020,perfect,tasb,vprf20
0.475179088662902,0,0,AP,trec-dl-2020,perfect,tasb,nodime
0.483365837769676,0,0,AP,trec-dl-2020,perfect,tasb,vprf5
0.539526166501155,0,1,AP,trec-dl-2020,perfect,tasb,ClickLogsCorrelation
0.50848438016498,0,0,AP,trec-dl-2020,perfect,tasb,ClickLogsWeightedMax
0.260331243479257,0,0,AP,trec-robust-2004,binarized,contriever,LLM
0.365638061397932,1,1,AP,trec-robust-2004,binarized,contriever,ClickLogsCorrelation
0.255469431178363,0,0,AP,trec-robust-2004,binarized,contriever,ClickLogsMean
0.2532695439497,0,0,AP,trec-robust-2004,binarized,contriever,vprf5
0.365571081586957,0,1,AP,trec-robust-2004,binarized,contriever,ClickLogsLinearModel
0.313025015206825,0,0,AP,trec-robust-2004,binarized,contriever,corocchio
0.24754211442768,0,0,AP,trec-robust-2004,binarized,contriever,vprf20
0.23476845891428,0,0,AP,trec-robust-2004,binarized,contriever,nodime
0.289942252841217,0,0,AP,trec-robust-2004,binarized,contriever,ClickLogsWeightedMean
0.300712592716205,0,0,AP,trec-robust-2004,binarized,contriever,ClickLogsWeightedMax
0.230573946659333,0,0,AP,trec-robust-2004,binarized,dragon,ClickLogsWeightedMax
0.233633152599081,0,0,AP,trec-robust-2004,binarized,dragon,LLM
0.348054695837788,0,1,AP,trec-robust-2004,binarized,dragon,ClickLogsCorrelation
0.220695149240195,0,0,AP,trec-robust-2004,binarized,dragon,ClickLogsWeightedMean
